scheme,models,weights,calibrated,accuracy,macro_f1,balanced_accuracy,top5_accuracy
uniform,"efficientnet_v2_s, dinov2_vitb14_linear, convnext_small","0.33, 0.33, 0.33",yes,0.7852,0.7799,0.7803,0.9685
weighted (test/2-fold),"efficientnet_v2_s, dinov2_vitb14_linear, convnext_small","0.50, 0.50, 0.00",yes,0.7833,0.7781,0.7784,0.9665
