model,T,ece_pre,ece_post,mce_pre,mce_post,n_eval
efficientnet_v2_s_seed42,0.9829948433727276,0.05005396990443344,0.041009521867687825,0.27332876300575853,0.2693676402328326,1568
dinov2_vitb14_linear_seed42,1.2186109085363526,0.05529288803669871,0.042638037037878086,0.18338209212210244,0.1681893973547131,1568
convnext_small_seed42,1.030272413944872,0.03921223657378747,0.041058823650641174,0.12051048425541229,0.11268494054011907,1568
efficientnet_b3_seed42,0.8666924966673167,0.06043567442995984,0.046002440421739385,0.17771525775537345,0.12157872567022651,1568
efficientnet_b2_seed42,0.8851479059410463,0.044662167199919285,0.037687070808159036,0.18964108072221217,0.13191339891931475,1568
zeroshot_clip_vit_b16,0.011922559684066617,0.4091032490919688,0.04983322214400722,0.4091032490919688,0.13702649574844444,1568
zeroshot_siglip_b16_224_buggy,0.6646970385804084,0.003243084335381244,0.0024229580101491205,0.003243084335381244,0.0024229580101491205,1568
zeroshot_siglip_b16_224_fixed,0.011883337177619241,0.40649017695846673,0.035551427061670325,0.40649017695846673,0.1367582455459953,1568
