name,accuracy,macro_f1,balanced_accuracy,n_features,fit_seconds
attr_only,0.28138942001274697,0.25408009540442283,0.2631646015615883,26,42.8
emb_only,0.730082855321861,0.7216508185801445,0.7185303708079003,768,141.9
hybrid,0.737093690248566,0.729545994141984,0.7246514074191645,794,175.4
