name,accuracy,macro_f1,balanced_accuracy,n_train,n_eval,n_features
single_v2s_argmax,0.7527087316762269,0.748047398472614,0.7498028865413235,0,1569,55
ensemble_top3_uniform_argmax,0.7782026768642447,0.7720693467820016,0.7723822946401958,0,1569,165
attrs_only,0.1268323773103888,0.11066903440696202,0.1170116773340212,1569,1569,26
stacker_probs_top3,0.7660930528999362,0.7587158263293052,0.7616788711280699,1569,1569,165
stacker_probs_top3_attrs,0.7718291905672403,0.7642824774382914,0.7673163993958572,1569,1569,191
stacker_v2s_attrs,0.7240280433397068,0.7120807526853484,0.7166784662626837,1569,1569,81
